COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,243,57,68,17,38,78,71,59,35,23,16,29,42,25,18,22,35,28,18,13,32,26,26
Q002,55,80,18,7,11,6,9,9,36,9,5,5,5,5,2,4,2,3,1,4,5,14,6
Q003,67,16,176,21,23,15,9,7,18,15,32,12,17,9,3,5,7,2,1,2,3,4,12
Q004,19,6,21,83,37,6,6,6,8,5,28,13,24,10,2,3,3,3,0,1,2,2,4
Q005,36,10,23,36,145,37,13,10,7,4,15,7,51,23,5,5,2,2,3,0,4,8,10
Q006,79,10,17,5,34,249,36,15,21,5,7,12,29,47,15,21,32,7,6,4,12,6,5
Q007,69,7,9,5,12,41,125,32,9,6,6,4,6,10,7,11,29,30,26,8,5,6,1
Q008,61,11,8,8,9,13,32,129,8,5,3,2,7,3,6,7,9,5,7,13,16,11,1
Q009,44,35,17,7,8,18,11,8,159,30,7,14,11,2,0,3,8,5,3,2,3,9,26
Q010,21,10,15,5,4,8,3,3,31,137,25,21,11,4,0,6,6,0,0,4,1,3,35
Q011,20,5,31,28,15,6,6,3,9,20,130,60,11,3,2,2,4,3,3,0,0,2,6
Q012,27,4,11,13,7,12,3,3,15,23,59,142,19,7,3,4,3,2,2,2,2,4,16
Q013,40,4,17,26,50,27,5,8,9,11,13,19,160,76,5,7,2,0,2,3,1,0,3
Q014,26,4,8,9,25,49,10,4,5,4,3,7,69,154,9,11,5,0,2,2,3,4,3
Q015,15,2,3,2,4,13,6,6,3,1,3,3,5,8,84,39,14,2,5,0,1,1,1
Q016,24,3,5,4,7,22,10,7,3,6,2,4,5,11,33,66,41,10,13,2,1,1,1
Q017,33,3,7,3,2,31,27,10,8,5,3,2,2,7,14,39,232,13,9,3,3,0,2
Q018,28,3,2,3,2,9,32,5,5,1,3,2,0,0,2,10,12,104,23,23,9,4,1
Q019,17,1,1,0,3,8,28,7,3,0,3,1,2,2,5,10,6,24,64,8,3,0,0
Q020,13,4,2,1,0,4,7,13,2,2,0,2,3,0,0,2,3,23,8,38,2,4,1
Q021,29,5,3,2,3,11,5,17,4,1,0,2,3,4,0,1,2,9,2,2,41,7,1
Q022,27,14,4,2,7,4,5,11,10,4,2,3,0,5,1,1,1,4,0,4,7,61,3
Q023,26,5,11,4,9,6,1,1,28,39,6,13,5,3,1,1,2,1,0,0,1,3,90
